"ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID",
10135,14082,
10135,14761,
10135,14082,
10135,13577,
10135,14761,
10135,14761,
10135,11697,
10135,14761,
10135,14761,
10135,14082,
10135,14761,
10135,14082,
10135,14112,
10135,14112,
10135,14986,
10135,14685,
10135,14082,
10135,14761,
10135,14685,
10135,14986,
10135,10693,
10135,14112,
10135,14761,
10135,14761,
10135,14112,
10135,14761,
10135,10693,
10135,14761,
10135,14112,
10135,14112,
10135,14112,
10135,14761,
10135,14761,
10135,14685,
10135,14685,
10135,10693,
10135,14761,
10135,14761,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,10693,
10135,10693,
10135,14761,
10135,14761,
10135,14761,
10135,14986,
10135,14761,
10135,11697,
10135,14761,
10135,14986,
10135,11697,
10135,14761,
10135,14761,
10135,14761,
10135,14082,
10135,14761,
10135,14986,
10135,14761,
10135,14112,
10135,14761,
10135,14082,
10135,14082,
10135,14112,
10135,14082,
10135,13577,
10135,14761,
10135,14112,
10135,14761,
10135,14761,
10135,14112,
10135,14986,
10135,14112,
10135,11697,
10135,14761,
10135,14082,
10135,14082,
10135,14685,
10135,13577,
10135,14761,
10135,14112,
10135,11697,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,13930,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11433,
10135,11057,
10135,11057,
10135,11057,
10135,11057,
