Measure,Value
Accuracy,0.7216530054644809
Weighted Precision,0.7784539583255994
Weighted recall,0.7216530054644809
Weighted FMeasure,0.7420377233471724
Weighted False Positive Rate,0.20739947364719458
Weighted True Positive Rate,0.7216530054644809
